Start,End,Open,High,Low,Close,Volume,Market Cap
2025-06-03,2025-06-04,1.00038,1.00066,1.00029,1.00051,119820295268.1568,153310723825.77005
2025-06-02,2025-06-03,1.00034,1.00041,1.00015,1.00038,99657069176.83275,153172400503.63416
2025-06-01,2025-06-02,1.00029,1.00048,1.00029,1.00034,91270993546.0453,153145899294.77005
2025-05-31,2025-06-01,1.00028,1.00042,1.00017,1.00029,146545876119.12195,153079220713.11847
2025-05-30,2025-05-31,0.99997,1.0003,0.99986,1.0002,157858908669.79443,153084589891.76306
2025-05-29,2025-05-30,1.00012,1.00029,0.99987,0.9999,142106397592.77005,152959009708.0662
2025-05-28,2025-05-29,1.00032,1.00041,1.00003,1.00015,135438553756.93729,152915280634.51917
2025-05-27,2025-05-28,1.00022,1.0005,1.00009,1.00033,136427988871.01045,152790107480.42508
2025-05-26,2025-05-27,1.0003,1.00044,1.00018,1.00022,138899895150.23694,152777571938.72473
2025-05-25,2025-05-26,1.00018,1.00041,1.0001,1.00032,112574530088.48431,152757526762.5157
2025-05-24,2025-05-25,1.00007,1.00031,1,1.00017,166119653256.65854,152676175443.3066
2025-05-23,2025-05-24,1.00013,1.00022,0.99973,1.00004,202120551945.6934,152422352165
2025-05-22,2025-05-23,1.00023,1.00031,0.9999,1.00012,238450312445.2509,152299558846.9373
2025-05-21,2025-05-22,1.00024,1.00055,1.00021,1.00023,169341288104.58884,151721495137.5784
2025-05-20,2025-05-21,1.00024,1.00038,1.00002,1.00026,152946211657.4634,151518653317.01395
2025-05-19,2025-05-20,1.000035,1.0003,0.9998750000000001,1.00026,183024512609.02438,151156544238.1986
2025-05-18,2025-05-19,1.000195,1.00024,0.999905,1.00007,111349845050.89896,151263232927.2648
2025-05-17,2025-05-18,0.999975,1.00027,0.9999199999999999,1.0002149999999999,123892328180.08711,151149986905.2439
2025-05-16,2025-05-17,0.9999750000000001,1.000175,0.99991,0.9999750000000001,158940167285.4843,150882332321.54007
2025-05-15,2025-05-16,1.000025,1.000205,0.9999499999999999,0.99996,153221356764.36932,150526416260.94772
2025-05-14,2025-05-15,1.000295,1.000295,0.9998400000000001,1.00004,190712367070.108,150208440742.1777
2025-05-13,2025-05-14,1.00024,1.00041,1.0001,1.0002900000000001,214939013272.3136,150093784073.108
2025-05-12,2025-05-13,1.0002,1.000335,0.99988,1.0002849999999999,199350174816.7352,149949199120.05923
2025-05-11,2025-05-12,0.9998800000000001,1.00034,0.999825,1.0002,182458676638.8502,149876850136.96863
2025-05-10,2025-05-11,1.00003,1.000135,0.99963,0.99987,180139235754.18118,149720521588.01395
2025-05-09,2025-05-10,1.000205,1.000445,0.99995,1.00003,238795849867.1289,149644401473.02438
2025-05-08,2025-05-09,1.0007000000000001,1.00079,1.00015,1.00016,151016789779.06967,149537865647.13242
2025-05-07,2025-05-08,1.00064,1.00074,1.0002900000000001,1.0007000000000001,121465573198.78397,149507525686.1359
2025-05-06,2025-05-07,1.001045,1.00128,1.000545,1.000575,103458972585.00348,149503827651.23346
2025-05-05,2025-05-06,1.0014599999999998,1.002065,1.001,1.0011,86967027887.20558,149559779010.05576
2025-05-04,2025-05-05,1.0011100000000002,1.00157,1.0008,1.001465,71991624075.62718,149445672644.55054
2025-05-03,2025-05-04,1.0002900000000001,1.001225,1.000195,1.0011649999999999,85854903455.53659,149150864119.82925
2025-05-02,2025-05-03,1.000195,1.000455,1.000095,1.00028,108408792875.9547,148843526191.52612
2025-05-01,2025-05-02,1.000785,1.0008,1.00019,1.00019,114089759999.18118,148643624013.34842
2025-04-30,2025-05-01,1.001055,1.001585,1.00021,1.00079,113505432066.58188,148334447016.68292
2025-04-29,2025-04-30,1.000565,1.001105,1.0002550000000001,1.0010050000000001,124804753897.72125,147729231952.73868
2025-04-28,2025-04-29,1.0003549999999999,1.00121,1.000205,1.00051,111361821106.5749,147283704189.55054
2025-04-27,2025-04-28,1.0004499999999998,1.0006149999999998,1.00017,1.00026,89116673159,147190957301.72473
2025-04-26,2025-04-27,1.00042,1.0008650000000001,1.000275,1.00049,121051722225.11847,146155462183.70035
2025-04-25,2025-04-26,1.000245,1.0006650000000001,1.000195,1.000425,134786264149.63763,145914630465.0209
2025-04-24,2025-04-25,1.000085,1.0003549999999999,0.99999,1.000195,138149419814.67596,145508237841.24738
2025-04-23,2025-04-24,0.9998450000000001,1.000115,0.9996349999999999,1.00004,175515373099.72473,145018388258.96515
2025-04-22,2025-04-23,0.9997050000000001,1.000385,0.9995,0.9998499999999999,130383571593.57143,144652977266.32404
2025-04-21,2025-04-22,0.9990399999999999,1.00002,0.998915,0.99975,103416465387.26132,144549163453.59235
2025-04-20,2025-04-21,0.99935,0.999405,0.9989699999999999,0.9990399999999999,71808613272.23694,144521208089.04877
2025-04-19,2025-04-20,0.9994000000000001,0.9995400000000001,0.999285,0.99935,65130065142.7108,144618805384.19165
2025-04-18,2025-04-19,0.999495,0.99964,0.999305,0.999325,80702177411.52614,144712049547.3589
2025-04-17,2025-04-18,0.9999149999999999,0.999925,0.999495,0.999495,100551101899.1115,144685734013.67944
2025-04-16,2025-04-17,0.99993,1.0001449999999998,0.9998149999999999,0.9999149999999999,101956182339.51219,144594538723.8432
2025-04-15,2025-04-16,0.999825,1.000135,0.9997050000000001,0.99994,107080998860.7352,144454328579.5993
2025-04-14,2025-04-15,0.99957,0.999865,0.99947,0.999865,122757079636.61673,144310613915.1289
2025-04-13,2025-04-14,0.9997100000000001,0.9997100000000001,0.99946,0.9996,103686801830.4007,144330380144.13937
2025-04-12,2025-04-13,0.9994799999999999,0.999785,0.999395,0.9997050000000001,111456777850.98607,144278629025.9338
2025-04-11,2025-04-12,0.999155,0.9996849999999999,0.9990749999999999,0.999475,133967600119.41812,144257644946.63763
2025-04-10,2025-04-11,0.999715,0.99973,0.999085,0.9991749999999999,185929253787.36237,144145578985.8223
2025-04-09,2025-04-10,0.99949,0.99997,0.999305,0.999725,173242467158.41464,144025442642.01743
2025-04-08,2025-04-09,0.9998199999999999,1.00013,0.999275,0.999455,189033610032.97562,144198765607.65506
2025-04-07,2025-04-08,0.999775,0.999785,0.998915,0.999765,216242435559.11578,144129163280.22455
2025-04-06,2025-04-07,1.000035,1.000115,0.999255,0.9997050000000001,73056469968.02438,144037675465.2648
2025-04-05,2025-04-06,0.99969,1.000095,0.999635,1.0000149999999999,108224644774.70732,144064082989.20905
2025-04-04,2025-04-05,0.99981,1.00003,0.99934,0.999665,129050043598.28572,144056457343.20905
2025-04-03,2025-04-04,0.999815,0.99993,0.99958,0.99986,159854423442.10104,144084584694.44598
2025-04-02,2025-04-03,1,1,0.999485,0.999755,114418311012.09059,144002860302.7352
2025-04-01,2025-04-02,1.00034,1.000495,0.9998549999999999,0.999995,106353257618.22299,144009238630.35193
2025-03-31,2025-04-01,1.001015,1.001095,1.000315,1.0005000000000002,94278447479.25435,144054034928.91986
2025-03-30,2025-03-31,1.000925,1.00102,1.00054,1.000875,82074506376.09756,144303771256.4216
2025-03-29,2025-03-30,1.00083,1.000985,1.000615,1.000975,100872672115.27177,144300468124.20557
2025-03-28,2025-03-29,1.00036,1.0009000000000001,1.00028,1.00076,114876356029.94077,144263912638.50522
2025-03-27,2025-03-28,1.0009700000000001,1.0010050000000001,1.0003,1.0003,109160456039.62369,144251537304.4007
2025-03-26,2025-03-27,1.000775,1.001255,1.0007350000000002,1.0009649999999999,108323225321.48431,144129647966.21255
2025-03-25,2025-03-26,1.00067,1.00122,1.000515,1.000825,111799107174.2648,143855271692.56793
2025-03-24,2025-03-25,1.000885,1.001,1.0003799999999998,1.00067,150704960686.7352,143588811486.01047
2025-03-23,2025-03-24,1.0005000000000002,1.001105,1.0003799999999998,1.000875,113060331847.44948,143574857240.43207
2025-03-22,2025-03-23,1.00035,1.0005600000000001,1.0002499999999999,1.000455,145278806819.38675,143541958736.8885
2025-03-21,2025-03-22,1.000105,1.0003600000000001,1.000055,1.00035,128050165460.11847,143569736608.7561
2025-03-20,2025-03-21,1.001125,1.001125,0.99996,1.0001,136957808050.97212,143723698909.39026
2025-03-19,2025-03-20,1.001005,1.0011649999999999,1.00076,1.001065,138644400285.97214,143579098832.4634
2025-03-18,2025-03-19,1.000945,1.00105,1.000825,1.0009000000000001,153521498725.15332,143565064803.21603
2025-03-17,2025-03-18,1.001045,1.001045,1.000675,1.00094,104978828889.87108,143593442534.05576
2025-03-16,2025-03-17,1.0011,1.001255,1.000945,1.001,82043742639.19164,143622735407.2439
2025-03-15,2025-03-16,1.0012599999999998,1.00136,1.00101,1.001105,102021555906.04181,143622171765.56445
2025-03-14,2025-03-15,1.00087,1.0012699999999999,1.00075,1.001215,122749729523.90941,143498703548.8014
2025-03-13,2025-03-14,1.00109,1.0011,1.00064,1.0008650000000001,131641128093.18466,143432564006.92682
2025-03-12,2025-03-13,1.00103,1.0012349999999999,1.00088,1.001085,158384810173.7979,143318925005.24042
2025-03-11,2025-03-12,1.0012249999999998,1.0015800000000001,1.00084,1.00098,196890889886.29617,143155842857.03833
2025-03-10,2025-03-11,1.00125,1.001465,1.000935,1.001215,155156601888.84668,143037919502.58884
2025-03-09,2025-03-10,1.001445,1.00203,1.00114,1.0013,84320333689.54355,143038576105.26132
